8/24/2020,PV-20-1972,Public Nuisance,Public Nuisance,"822 HILLTOP ST, HIGH POINT NC 27260",822 HILLTOP ST,822,HILLTOP,ST,Closed - Lien Filed,Public Nuisance
8/24/2020,PV-20-1973,Public Nuisance,Public Nuisance,"811 HENDRIX ST, HIGH POINT NC 27260",811 HENDRIX ST,811,HENDRIX,ST,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1974,Public Nuisance,Public Nuisance,"1201 MONTLIEU AV, HIGH POINT NC 27262",1201 MONTLIEU AV,1201,MONTLIEU,AV,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1975,Public Nuisance,Public Nuisance,"1119 CEDROW DR, HIGH POINT NC 27260",1119 CEDROW DR,1119,CEOW,DR,Closed - No Violation,Public Nuisance
8/24/2020,PV-20-1976,Public Nuisance,Public Nuisance,"1125 CEDROW DR, HIGH POINT NC 27260",1125 CEDROW DR,1125,CEOW,DR,Closed - No Violation,Public Nuisance
8/24/2020,PV-20-1977,Public Nuisance,Public Nuisance,"1213 FRANKLIN AV, HIGH POINT NC 27260",1213 FRANKLIN AV,1213,FRANKLIN,AV,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1978,Public Nuisance,Public Nuisance,"924 MARLBORO ST, HIGH POINT NC 27260",924 MARLBORO ST,924,MARLBORO,ST,Closed - Lien Filed,Public Nuisance
8/24/2020,PV-20-1979,Public Nuisance,Public Nuisance,"108 HALL ST, HIGH POINT NC 27263",108 HALL ST,108,HALL,ST,Closed - Owner Corrected,Public Nuisance
8/24/2020,PV-20-1980,Public Nuisance,Public Nuisance,"1587 SKEET CLUB RD, HIGH POINT NC 27265",1587 SKEET CLUB RD,1587,SKEET CLUB,RD,Closed - No Violation,Public Nuisance
8/24/2020,PV-20-1981,Public Nuisance,Public Nuisance,"4313 HARDIN CT, HIGH POINT NC 27265",4313 HARDIN CT,4313,HARDIN,CT,Closed - No Violation,Public Nuisance
8/25/2020,BV-20-0015,Unsafe Building,Condemned Building 130 Greensboro Rd,"130 GREENSBORO RD, HIGH POINT NC 27260",130 GREENSBORO RD,130,GREENSBORO,RD,Closed - Owner Demo,Condemned Building 130 Greensboro Rd
8/25/2020,PV-20-1982,Public Nuisance,Public Nuisance,"518 PENDLETON ST, HIGH POINT NC 27260",518 PENDLETON ST,518,PENDLETON,ST,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1983,Public Nuisance,Public Nuisance,"1608 FORREST ST, HIGH POINT NC 27262",1608 FORREST ST,1608,FORRE,ST,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-1984,Public Nuisance,Public Nuisance,"819 PINE CIRCLE DR, HIGH POINT NC 27265",819 PINE CIRCLE DR,819,PINE CIRCLE,DR,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-1985,Public Nuisance,Public Nuisance,"1559 SKEET CLUB RD, HIGH POINT NC 27265",1559 SKEET CLUB RD,1559,SKEET CLUB,RD,Closed - No Violation,Public Nuisance
8/25/2020,PV-20-1986,Public Nuisance,Public Nuisance,"700 LEXINGTON AV, HIGH POINT NC 27262",700 LEXINGTON AV,700,LEXINGTON,AV,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1987,Public Nuisance,Public Nuisance,"833 CIRCLE DR, HIGH POINT NC 27262",833 CIRCLE DR,833,CIRCLE,DR,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1988,Public Nuisance,Public Nuisance,"1113 WASHINGTON ST, HIGH POINT NC 27260",1113 WASHINGTON ST,1113,WASHINGTON,ST,Closed - Owner Corrected,Public Nuisance
8/25/2020,PV-20-1989,Public Nuisance,Public Nuisance,"806 OLD WINSTON RD, HIGH POINT NC 27265",806 OLD WINSTON RD,806,OLD WINSTON,RD,Closed - Owner Corrected,Public Nuisance
