ADDRESS,VACANT AS OF,DWELLING TYPE,VACANT BUILDING CATEGORY,WARD,DISTRICT,CENSUS TRACT,MAP LOCATION
677 PIERCE BUTLER ROUTE,01/23/2014 12:00:00 AM,Commercial,2,1,7,32400,"(44.96514262, -93.12870133)"
187 7TH PLACE E,08/12/2008 12:00:00 AM,Commercial,2,2,17,34202,"(44.95031947, -93.09034852)"
174 PAGE ST W,05/31/2019 12:00:00 AM,Single Family Residential,3,2,3,37100,"(44.92447104, -93.09306413)"
1074 GRAND AVE,03/31/2021 12:00:00 AM,Commercial,1,2,16,42900,"(44.93987681, -93.14557337)"
587 COOK AVE E,10/14/2005 12:00:00 AM,Duplex,2,6,5,31000,"(44.97304843, -93.07561221)"
1313 SEMINARY AVE,06/05/2008 12:00:00 AM,Single Family Residential,3,4,11,32300,"(44.96488803, -93.15572938)"
901 YORK AVE,08/21/2015 12:00:00 AM,Single Family Residential,3,6,5,31600,"(44.96861168, -93.06228504)"
1853 MINNEHAHA AVE E,03/13/2020 12:00:00 AM,Single Family Residential,2,7,2,31801,"(44.96325761, -93.02212057)"
425 RICE ST,04/16/2019 12:00:00 AM,Commercial,2,1,17,33700,"(44.95361819, -93.10780981)"
1285 BEECHWOOD PLACE,11/03/2020 12:00:00 AM,Single Family Residential,2,3,15,36600,"(44.91540067, -93.15459175)"
779 CARROLL AVE,01/11/2019 12:00:00 AM,Single Family Residential,2,1,8,33500,"(44.95045933, -93.13303664)"
1136 LAFOND AVE,02/11/2016 12:00:00 AM,Single Family Residential,2,4,11,32300,"(44.9601206, -93.1481715)"
771 IOWA AVE W,07/22/2011 12:00:00 AM,Single Family Residential,2,5,10,30300,"(44.98931388, -93.1324226)"
900 JENKS AVE,03/10/2021 12:00:00 AM,Duplex,1,6,5,31600,"(44.9709246, -93.06244011)"
657 SHERBURNE AVE,01/31/2017 12:00:00 AM,Single Family Residential,3,1,7,32500,"(44.95676679, -93.12795926)"
1123 6TH ST E,10/12/2020 12:00:00 AM,Single Family Residential,2,7,4,34601,"(44.96049645, -93.05318771)"
1347 UNIVERSITY AVE W,07/07/2020 12:00:00 AM,Commercial,1,4,11,32200,"(44.95594246, -93.15728926)"
1144 FAIRMOUNT AVE,03/13/2019 12:00:00 AM,Single Family Residential,2,2,16,35300,"(44.93664925, -93.14848754)"
716 SIMS AVE,01/05/2021 12:00:00 AM,Single Family Residential,1,6,5,31500,"(44.9692391, -93.07033954)"
