1/20/2021,INV21-01072,"511 N GRANT AVE, INDIANAPOLIS IN 46201",511 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01073,"519 N GRANT AVE, INDIANAPOLIS IN 46201",519 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01074,"521 N GRANT AVE, INDIANAPOLIS IN 46201",521 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01075,"621 N GRANT AVE, INDIANAPOLIS IN 46201",621 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01076,"715 N GRANT AVE, INDIANAPOLIS IN 46201",715 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01077,"717 N GRANT AVE, INDIANAPOLIS IN 46201",717 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01078,"718 N GLADSTONE AVE, INDIANAPOLIS IN 46201",718 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01079,"726 N GLADSTONE AVE, INDIANAPOLIS IN 46201",726 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01080,"831 N GRANT AVE, INDIANAPOLIS IN 46201",831 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01081,"875 N GRANT AVE, INDIANAPOLIS IN 46201",875 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01082,"879 N GRANT AVE, INDIANAPOLIS IN 46201",879 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01083,"890 N GLADSTONE AVE, INDIANAPOLIS IN 46201",890 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
1/20/2021,INV21-01084,"902 N GLADSTONE AVE, INDIANAPOLIS IN 46201",902 N GLADSTONE AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, Notice"
1/20/2021,INV21-01085,"901 N GRANT AVE, INDIANAPOLIS IN 46201",901 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,"Closed, VIO"
1/20/2021,INV21-01086,"906 N GRANT AVE, INDIANAPOLIS IN 46201",906 N GRANT AVE,", INDIANAPOLIS IN 46201",Investigation - Trash,Closed
