10/2/2020,ENV-20-18958,Litter,"1110 VICTORY Ave, SOUTH BEND IN 46615",1110 VICTORY,Closed,
10/2/2020,HSG-20-00155,Sub-standard Housing,"625 E DUBAIL Ave, SOUTH BEND IN 46613",625 E DUBAIL,In Violation,
10/1/2020,ENV-20-18957,Litter,"1814 VASSAR Ave, SOUTH BEND IN 46628",1814 VASSAR,Review Case for Collections,
10/1/2020,ENV-20-18956,Litter,"527 KOSCIUSZKO St, SOUTH BEND IN 46619",527 KOSCIUSZKO,Closed,
10/1/2020,ENV-20-18955,Litter,"529 KOSCIUSZKO St, SOUTH BEND IN 46619",529 KOSCIUSZKO,Review Case for Collections,
10/1/2020,ENV-20-18954,Litter,"529 KOSCIUSZKO St, SOUTH BEND IN 46619",529 KOSCIUSZKO,Closed,
10/1/2020,ENV-20-18953,Litter,"1021 N MEADE St, SOUTH BEND IN 46628",1021 N MEADE,Closed,
10/1/2020,ENV-20-18952,Vegetation,"2519 BONDS Ave, SOUTH BEND IN 46628",2519 BONDS,Closed,
10/1/2020,ENV-20-18951,Litter,"523 KOSCIUSZKO St, SOUTH BEND IN 46614",523 KOSCIUSZKO,Review Case for Collections,
10/1/2020,ENV-20-18950,Litter,"515 KOSCIUSZKO St, SOUTH BEND IN 46619",515 KOSCIUSZKO,Closed,
10/1/2020,ENV-20-18949,Grass and Weeds,"114 N CARLISLE St, SOUTH BEND IN 46628",114 N CARLISLE,Review Case for Collections,
10/1/2020,ENV-20-18948,Grass and Weeds,"2121 W WASHINGTON St, SOUTH BEND IN 46628",2121 W WASHINGTON,Review Case for Collections,
10/1/2020,ENV-20-18947,Litter,"434 S JACKSON St, SOUTH BEND IN 46619",434 S JACKSON,Closed,
10/1/2020,ENV-20-18946,Litter,"519 E DUBAIL Ave, SOUTH BEND IN 46613",519 E DUBAIL,Closed,
10/1/2020,ENV-20-18945,Litter,"433 PULASKI St, SOUTH BEND IN 46619",433 PULASKI,Closed,
10/1/2020,ENV-20-18944,Litter,"701 N JOHNSON St, SOUTH BEND IN 46628",701 N JOHNSON,Review Case for Collections,
10/1/2020,ENV-20-18943,Litter,"526 E INDIANA Ave, SOUTH BEND IN 46613",526 E INDIANA,Closed,
10/1/2020,ENV-20-18942,Grass and Weeds,"2115 BERTRAND St, SOUTH BEND IN 46628",2115 BERTRAND,Closed,
10/1/2020,ENV-20-18941,Grass and Weeds,"1417 JOYCE Dr, SOUTH BEND IN 46616",1417 JOYCE,Closed,
10/1/2020,ENV-20-18940,Litter,"1417 JOYCE Dr, SOUTH BEND IN 46616",1417 JOYCE,Review Case for Collections,
10/1/2020,HSG-20-00154,Sub-standard Housing,"208 E FOX St, SOUTH BEND IN 46613",208 E FOX,Hearing Recommended,
10/1/2020,ENV-20-18939,Grass and Weeds,"424 S CHICAGO St, SOUTH BEND IN 46619",424 S CHICAGO,Review Case for Collections,
10/1/2020,ENV-20-18938,Grass and Weeds,"627 E DAYTON St, SOUTH BEND IN 46613",627 E DAYTON,Closed,
10/1/2020,ENV-20-18937,Vegetation,"524 E DAYTON St, SOUTH BEND IN 46613",524 E DAYTON,Closed,
10/1/2020,ENV-20-18936,Litter,"620 E DUBAIL Ave, SOUTH BEND IN 46613",620 E DUBAIL,Review Case for Collections,
10/1/2020,ENV-20-18935,Litter,"929 E BOWMAN St, SOUTH BEND IN 46613",929 E BOWMAN,Closed,
10/1/2020,ENV-20-18934,Litter,"811 E DONALD St, SOUTH BEND IN 46613",811 E DONALD,Closed,
10/1/2020,ENV-20-18933,Litter,"614 S BROOKFIELD St, SOUTH BEND IN 46619",614 S BROOKFIELD,Closed,
10/1/2020,ENV-20-18932,Grass and Weeds,"421 S WELLINGTON St, SOUTH BEND IN 46619",421 S WELLINGTON,Review Case for Collections,
10/1/2020,ENV-20-18931,Grass and Weeds,"517 E FAIRVIEW Ave, SOUTH BEND IN 46614",517 E FAIRVIEW,Closed,
10/1/2020,ENV-20-18930,Grass and Weeds,"1401 N OLIVE St, SOUTH BEND IN 46628",1401 N OLIVE,Review Case for Collections,
10/1/2020,HSG-20-00153,Sub-standard Housing,"625 E DUBAIL Ave, SOUTH BEND IN 46613",625 E DUBAIL,Closed,
10/1/2020,ENV-20-18929,Vegetation,"705 S KENMORE St, SOUTH BEND IN 46617",705 S KENMORE,Closed,
10/1/2020,ENV-20-18928,Litter,"705 S KENMORE St, SOUTH BEND IN 46617",705 S KENMORE,Closed,
10/1/2020,ENV-20-18927,Litter,"2910 ELWOOD Ave, SOUTH BEND IN 46628",2910 ELWOOD,Closed,
10/1/2020,ENV-20-18926,Litter,"810 S KENMORE St, SOUTH BEND IN 46619",810 S KENMORE,Closed,
10/1/2020,ENV-20-18925,Litter,"806 S KENMORE St, SOUTH BEND IN 46618",806 S KENMORE,Closed,
10/1/2020,ENV-20-18924,Grass and Weeds,"721 S LAKE St, SOUTH BEND IN 46619",721 S LAKE,Review Case for Collections,
10/1/2020,ENV-20-18923,Grass and Weeds,"737 S LAKE St, SOUTH BEND IN 46619",737 S LAKE,Review Case for Collections,
10/1/2020,HSG-20-00152,Sub-standard Housing,"2719 MARINE St, SOUTH BEND IN 46614",2719 MARINE,In Violation,
10/1/2020,ENV-20-18922,Litter,"1630 N ILLINOIS St, SOUTH BEND IN 46628",1630 N ILLINOIS,Closed,
10/1/2020,HSG-20-00151,Sub-standard Housing,"1215 RANDOLPH St, SOUTH BEND IN 46613",1215 RANDOLPH,Stern Letter Request,
10/1/2020,ENV-20-18921,Grass and Weeds,"717 N ELMER St, SOUTH BEND IN 46628",717 N ELMER,Review Case for Collections,
10/1/2020,ENV-20-18920,Litter,"451 S GRANT St, SOUTH BEND IN 46619",451 S GRANT,Closed,
10/1/2020,ENV-20-18919,Litter,"3311 W WESTERN Ave, SOUTH BEND IN 46613",3311 W WESTERN,Closed,
10/1/2020,ENV-20-18918,Litter,"226 OBRIEN St, Unit 228, SOUTH BEND IN 46628",226 OBRIEN,Closed,
10/1/2020,ENV-20-18917,Grass and Weeds,"1104 N ADAMS St, SOUTH BEND IN 46628",1104 N ADAMS,Closed,
10/1/2020,ENV-20-18916,Litter,"519 S GRANT St, SOUTH BEND IN 46619",519 S GRANT,Closed,
10/1/2020,HSG-20-00150,Sub-standard Housing,"1830 LEER St, SOUTH BEND IN 46613",1830 LEER,Hearing Recommended,
