311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
389302,6/11/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"8003 REGENCY PKWY, CARY 275188503",REGENCY PKWY ? ROW
463753,11/15/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"801 PAMLICO DR, CARY 275113765",
377765,5/14/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"802 E CHATHAM ST, CARY 275116917",
464574,11/17/2020,Closed,Public Works,Code Enforcement Inquiry,"802 TRANQUIL SOUND DR, CARY 275196430",
524498,4/1/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"8037 CHAPEL HILL RD, CARY 275134168",
468778,11/25/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"804 PAMLICO DR, CARY 275113730",
343769,2/24/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"809 FLIP TRL, CARY 27513",
469342,11/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"809 FLIP TRL, CARY 27513",
464575,11/17/2020,Closed,Public Works,Code Enforcement Inquiry,"811 TRANQUIL SOUND DR, CARY 275196431",
424805,8/27/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"817 GAYLE CIR, CARY 275134311",
489958,1/15/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"818 MCGINN MANOR LN, CARY 27519",
343432,2/22/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"819 GRIFFIS ST, CARY 275113709",
323076,1/10/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"819 PAMLICO DR, CARY 275113729",
358227,3/30/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"820 ELLYNN DR, CARY 275114619",
423131,8/24/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"820 ELLYNN DR, CARY 275114619",
443442,10/6/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"821 KILDAIRE FARM RD, CARY 275113836",
370486,4/30/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"823 GAYLE CIR, CARY 275134311",Black Creek Greenway
375369,5/8/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"840 W CHATHAM ST, CARY 275113153",
445336,10/9/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"845 RYMARK CT, CARY 27513",
425057,8/27/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"8601 GLADE HILL DR, APEX 275397944",
505547,2/23/2021,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"8624 CHAPEL HILL RD, CARY 275134564",
402357,7/10/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"8713 CHAPEL HILL RD, CARY 275133721",
416221,8/10/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"8715 CHAPEL HILL RD, CARY 275133721",
364066,4/14/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"8854 CHAPEL HILL RD, CARY 275133741",
496017,2/1/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"90 ROYCE DR, CARY 27511",
351129,3/11/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"900 AUTO PARK BLVD, CARY 275116005",
