311 Case Number,Date Opened,Status,Case Type,Sub Type,Service Address,Asset: Asset Name
423219,8/24/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,"100 ABORFIELD CT, CARY 275132819",
340365,2/17/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 BRIGHT ANGEL DR, CARY 275135308",
529816,4/12/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"100 BROMFIELD WAY, CARY 275196655",
370520,4/30/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"100 CASTLEWOOD DR, CARY 275115510",
487512,1/10/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CAVENDISH DR, CARY 275134935",
393157,6/20/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CHERTSEY CT, CARY 275198366",
402582,7/11/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 CHERTSEY CT, CARY 275198366",
377338,5/13/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 DALESHIRE DR, CARY 275195177",
463599,11/14/2020,Closed,Public Works,Code Enforcement Inquiry,"100 FAIRCHILD DOWNS PL, CARY 275186335",
468038,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 GLADE PARK RD, CARY 275188683",
491661,1/21/2021,Closed,Public Works,Code Enforcement Inquiry,"100 HIGHLAND COMMONS CT, CARY 275116730",
337071,2/7/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"100 HIGHLAND COMMONS CT, CARY 275116732",
352769,3/16/2020,Closed,Public Works,Code Enforcement Inquiry,"100 KALMIA LN, CARY 275189157",
488906,1/13/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
503060,2/17/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
508756,3/2/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"100 LAUREL BRANCH DR, CARY 275135360",
350997,3/11/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 MALTLAND DR, CARY 275189011",
370142,4/30/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 MCCLEARY CT, CARY 27513",
349277,3/6/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 MORRISVILLE SQUARE WAY, MORRISVILLE 27560",
415067,8/7/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 MUIR WOODS DR, CARY 275134760",
431415,9/11/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"100 PARK JAMES WAY, CARY 275186822",
468157,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 PENNY LN, CARY 275114026",
343570,2/23/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 RAVENSTONE DR, CARY 275189058",
487563,1/11/2021,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 RAVENSTONE DR, CARY 275189058",
492621,1/22/2021,Completed,Code Enforcement,Dumping ? Code Enforcement,"100 SCOTS COVE LN, CARY 275189134",
352614,3/16/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"100 SHADY MEADOW CIR, CARY 275139103",
412488,8/1/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 SHIRLEY DR, CARY 275113848",
343579,2/23/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 SOLSTICE CIR, CARY 275135209",
392468,6/18/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 SPRING NEEDLE CT, CARY 275133500",
422325,8/22/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 STEEP BANK DR, CARY 275188954",
448041,10/15/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
455819,11/1/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
465974,11/19/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
474075,12/8/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 TRAVILAH OAKS LN, CARY 275182243",
363339,4/13/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 TURQUOISE CREEK DR, CARY 275135616",
392466,6/18/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"100 UNAKA CT, CARY 275196924",Park Site: White Oak Park
424831,8/27/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"100 W LOCHMERE DR, CARY 275189129",
512397,3/9/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"100 WESTON ESTATES WAY, CARY 275138618",
380040,5/20/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 WINNERS CIR, CARY 275115373",
359699,4/2/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"100 WOODGLEN DR, CARY 275188606",
498247,2/5/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"100 WYATTS POND LN, CARY 275133012",N HARRISON AVE ? ROW
365249,4/17/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"100 YORKHILL DR, CARY 275138300",
375339,5/8/2020,Closed,Public Works,Code Enforcement Inquiry,"1000 ASKHAM DR, CARY 275114737",
399974,7/6/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"1000 EVANS RD, CARY 275133111",
409495,7/27/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"1000 WINSTEAD DR, CARY 27513",
394270,6/23/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"1001 WILSHIRE DR, CARY 275113932",
355444,3/23/2020,Closed on Call,Code Enforcement,Graffiti/Defacement,"1002 N HARRISON AVE, CARY 275133905",
433530,9/16/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1003 CHALK MAPLE DR, CARY 275197413",
416328,8/10/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1003 LANGSTON POND DR, CARY 275182298",
371927,5/4/2020,Closed,Public Works,Code Enforcement Inquiry,"1004 POND ST, CARY 275113810",
381475,5/23/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 BEACON COVE DR, CARY 275114375",
510142,3/5/2021,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 BRANNIGAN PL, CARY 275115660",
513856,3/12/2021,Duplicate,Code Enforcement,Hazard Tree ? Code Enforcement,"101 BRANNIGAN PL, CARY 275115660",
331718,1/29/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"101 BRIDGEWAY CT, CARY 275116361",
339669,2/14/2020,Completed,Code Enforcement,Material Not Prepared ? Code Enforcement,"101 BRIGHT ANGEL DR, CARY 275135309",
346295,2/29/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"101 BUCKNELL DR, APEX 27502",
395846,6/26/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"101 CENTER POINTE DR, CARY 275135706",SW CARY PKWY ? ROW
508807,3/2/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"101 CENTER POINTE DR, CARY 275135706",
463758,11/15/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 DANFORTH DR, CARY 275113184",
464424,11/16/2020,Duplicate,Public Works,Code Enforcement Inquiry,"101 DANFORTH DR, CARY 275113184",
355160,3/21/2020,Closed,Code Enforcement,Graffiti/Defacement,"101 E DYNASTY DR, CARY 275133355",
357855,3/30/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
367287,4/23/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
372320,5/5/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
395587,6/25/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
400837,7/8/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
419040,8/17/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
419426,8/17/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
434137,9/17/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 ELMVIEW DR, CARY 275195202",
386844,6/5/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 FERRIS WHEEL CT, CARY 275133618",
522869,3/30/2021,Closed,Public Works,Code Enforcement Inquiry,"101 GREENGATE CT, CARY 275113762",
389721,6/12/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 GREY HORSE DR, CARY 275133447",
405870,7/18/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"101 LAKE PINE DR, CARY 275114356",
402560,7/11/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 LEISURE CT, CARY 275114444",
414874,8/6/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"101 LONESOME PINE DR, CARY 275131732",
364106,4/14/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"101 MACLAURIN ST, CARY 275188405",
372109,5/4/2020,Closed,Public Works,Code Enforcement Inquiry,"101 MARIPOSA DR, CARY 275135331",
396301,6/28/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"101 MARIPOSA DR, CARY 275135331",
423115,8/24/2020,Closed,Public Works,Code Enforcement Inquiry,"101 PARK JAMES WAY, CARY 275186822",
419021,8/17/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 PARKSPRING CT, CARY 275197534",
530189,4/12/2021,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 PECKSKILL CT, CARY 275198376",
360824,4/4/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 PRESTON EXECUTIVE DR, CARY 275138458",
423205,8/24/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,"101 PRESTON EXECUTIVE DR, CARY 275138458",
341914,2/20/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"101 QUEENSFERRY RD, CARY 275116311",
529712,4/12/2021,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 RIDGEPATH WAY, CARY 275116633",
412797,8/3/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"101 SARABANDE DR, CARY 275135363",
488915,1/13/2021,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"101 SARABANDE DR, CARY 275135363",
387022,6/5/2020,Work Completed,Code Enforcement,Graffiti/Defacement,"101 SILVERGROVE DR, CARY 275139218",
391956,6/17/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"101 SW CARY PKWY, CARY 275115562",
407184,7/21/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"101 VE THEYL LN, CARY 275131629",
397600,6/30/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"101 WIDECOMBE CT, CARY 275134765",
425952,8/31/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"101 WILLOUGHBY LN, CARY 275134143",
379710,5/19/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"1011 ASKHAM DR, CARY 275114703",
383809,5/29/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"1011 MANCHESTER DR, CARY 275114808",
424058,8/26/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"1012 ASKHAM DR, CARY 275114737",
337706,2/10/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"1013 ASKHAM DR, CARY 275114703",
383235,5/28/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1013 CASTALIA DR, CARY 275134988",
386247,6/4/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,"1013 CASTALIA DR, CARY 275134988",
418824,8/16/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"1013 CASTALIA DR, CARY 275134988",
443183,10/5/2020,On Hold,Code Enforcement,Dumping ? Code Enforcement,"1013 CASTALIA DR, CARY 275134988",
337708,2/10/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"1015 ASKHAM DR, CARY 275114703",
384834,6/1/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1019 MANCHESTER DR, CARY 275114808",
444630,10/8/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"1019 MONMOUTH LOOP, CARY 27513",
490909,1/19/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"102 ABBOTT LN, CARY 275134138",
529622,4/12/2021,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"102 AMBER CREEK CIR, CARY 275138800",
334150,2/3/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"102 BOLDLEAF CT, CARY 275133812",
369219,4/28/2020,Closed,Public Works,Code Enforcement Inquiry,"102 CORONADO WAY, CARY 275114022",
370274,4/30/2020,Closed,Public Works,Code Enforcement Inquiry,"102 CORONADO WAY, CARY 275114022",
418794,8/16/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"102 FARREN CT, CARY 275114559",
463596,11/14/2020,Closed,Public Works,Code Enforcement Inquiry,"102 FARREN CT, CARY 275114559",
410544,7/28/2020,Work Completed,Code Enforcement,Material Not Prepared ? Code Enforcement,"102 FROSTWOOD DR, CARY 275187024",
338881,2/12/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"102 HUNTSMOOR LN, CARY 275134731",
526170,4/5/2021,Duplicate,Public Works,Code Enforcement Inquiry,"102 LEISURE CT, CARY 275114445",
344958,2/26/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"102 MANHATTAN CT, CARY 275113258",
365387,4/17/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"102 MANHATTAN CT, CARY 275113258",
318684,1/2/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"102 WOODGROVE LN, CARY 275189709",
390453,6/13/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1021 EVANS RD, CARY 27513",
394349,6/23/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"1022 EVANS RD, CARY 275133111",
508409,3/2/2021,Closed,Code Enforcement,Dumping ? Code Enforcement,"1022 EVANS RD, CARY 275133111",
386460,6/4/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"1022 WINWOOD DR, CARY 275114351",
396615,6/29/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"1022 WINWOOD DR, CARY 275114351",
371832,5/4/2020,Completed,Code Enforcement,Material Not Prepared ? Code Enforcement,"103 ALBERT CT, CARY 275133021",
493022,1/25/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"103 BLACK ANGUS RUN, CARY 275135403",
375202,5/8/2020,Closed,Public Works,Code Enforcement Inquiry,"103 COATBRIDGE CIR, CARY 275115089",
349088,3/6/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"103 KAREN CT, CARY 275114965",
383107,5/28/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"103 LIVELY COURT WEST, CARY 275115786",
351895,3/13/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"103 MINT CT, CARY 275135136",
442163,10/2/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"103 OAK HILL LOOP, CARY 275132400",
446123,10/12/2020,Duplicate,Code Enforcement,Dumping ? Code Enforcement,"103 OAK HILL LOOP, CARY 275132400",
447880,10/15/2020,Duplicate,Code Enforcement,Sight Obstruction ? Code Enforcement,"103 OAK HILL LOOP, CARY 275132400",
412827,8/3/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"103 SILK LEAF CT, CARY 275183868",
392945,6/19/2020,Duplicate,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"103 TRIMBLE AVE, CARY 275116207",
379132,5/18/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"103 WYATTS POND LN, CARY 275133013",
384878,6/1/2020,Closed on Call,Code Enforcement,Tall Grass ? Code Enforcement,"103 WYATTS POND LN, CARY 275133013",
429360,9/8/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1030 JEWEL CREEK DR, CARY 275199486",
371965,5/4/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"1030 MANCHESTER DR, CARY 275114848",
322408,1/9/2020,Closed on Call,Public Works,Code Enforcement Inquiry,"1037 PUEBLO RIDGE PL, CARY 275190833",
468677,11/25/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"104 BECKINGHAM LOOP, CARY 275196371",
493767,1/26/2021,Closed,Public Works,Code Enforcement Inquiry,"104 DALRYMPLE LN, CARY 275116355",
468037,11/24/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"104 GLADE PARK RD, CARY 275188683",
421306,8/21/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"104 GLASGOW RD, CARY 275116516",
324166,1/14/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"104 HIGHLOCH CT, CARY 275116362",
468304,11/24/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"104 ORILLA CT, CARY 275132848",
411359,7/30/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"104 PARK OAKS CT, CARY 275195993",
401079,7/8/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"104 POPLIN CT, CARY 275199731",Cary Park Greenway
509320,3/3/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"104 QUARTERMAINE CT, CARY 275135152",
329477,1/24/2020,Completed,Code Enforcement,Cart Roll?In ? Code Enforcement,"104 WAX MYRTLE CT, CARY 275135131",
440445,9/29/2020,Closed,Code Enforcement,Material Not Prepared ? Code Enforcement,"104 WEDGEMERE ST, CARY 275195156",
405592,7/17/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"1040 HORTONS CREEK RD, CARY 275197403",
374597,5/7/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"10401 PENNY RD, RALEIGH 276069109",
423481,8/25/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"1042 MANCHESTER DR, CARY 275114848",
392607,6/18/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"1046 UPCHURCH FARM LN, CARY 275198756",
494697,1/28/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"105 DEVINE WAY, CARY 275115790",
409159,7/25/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"105 ELMVIEW DR, CARY 275195202",
366016,4/20/2020,Completed,Code Enforcement,Material Not Prepared ? Code Enforcement,"105 ESQUIRE LN, CARY 275133068",
381322,5/22/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"105 N JAGUAR CT, CARY 275134940",
409004,7/24/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"105 ORCHARD PARK DR, CARY 27513",
402312,7/10/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"105 RAWHIDE CT, CARY 275134727",
394881,6/24/2020,Closed,Public Works,Code Enforcement Inquiry,"105 ROSEWALL LN, CARY 275116639",
361673,4/7/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"105 TACK CT, CARY 275138329",
470960,12/1/2020,Work Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"105 TRAFALGAR LN, CARY 275135123",
366859,4/22/2020,Closed,Code Enforcement,Graffiti/Defacement,"105 W CHATHAM ST, CARY 275113331",
336891,2/7/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"105 WHITTLEWOOD DR, CARY 275134707",Park Site: Fred G. Bond Metro Park
474887,12/9/2020,Work Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"10508 PENNY RD, RALEIGH 276069110",
395343,6/25/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"106 CASTLEFERN DR, CARY 275135154",
390442,6/13/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"106 E CAMDEN FOREST DR, CARY 275189044",
437226,9/23/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"106 EMPIRE CIR, CARY 275133309",
376019,5/11/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"106 LIVINGSTONE DR, CARY 275132900",
502917,2/17/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"106 LOCHBERRY LN, CARY 275189753",
424995,8/27/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"106 MADISON SQUARE LN, CARY 275134438",
446047,10/12/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"106 MUSES CT, CARY 275139616",
402428,7/10/2020,Closed,Code Enforcement,Material Not Prepared ? Code Enforcement,"107 CANDACE PL, CARY 275135216",
416020,8/10/2020,Closed,Code Enforcement,Material Not Prepared ? Code Enforcement,"107 CANDACE PL, CARY 275135216",
416335,8/10/2020,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"107 CANDACE PL, CARY 275135216",
523396,3/30/2021,Closed on Call,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"107 GREENGATE CT, CARY 275113762",
523440,3/30/2021,Closed,Public Works,Code Enforcement Inquiry,"107 GREENGATE CT, CARY 275113762",
522355,3/29/2021,Duplicate,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"107 LAKE PINE DR, CARY 275114356",
424938,8/27/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"107 MARTINA CT, CARY 275116649",
353130,3/17/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"107 MINDEN LN, CARY 27513",
382123,5/26/2020,Closed,Public Works,Code Enforcement Inquiry,"107 MINDEN LN, CARY 27513",
424744,8/27/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"107 PADGETT CT, CARY 275189183",
336338,2/6/2020,Completed,Code Enforcement,Sight Obstruction ? Code Enforcement,"107 TECUMSEH CT, CARY 27513",
336263,2/6/2020,Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"108 DUTCHESS DR, CARY 275134209",
355254,3/23/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"108 GREENGATE CT, CARY 275113762",
382694,5/27/2020,Closed,Public Works,Code Enforcement Inquiry,"10820 PENNY RD, CARY 275181916",
492581,1/22/2021,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"10825 W BRIDGFORD DR, CARY 275181519",
362502,4/9/2020,Closed on Call,Code Enforcement,Cart Roll?In ? Code Enforcement,"109 OLDE ALPHE CIR, CARY 275199366",
363666,4/13/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"109 OLDE ALPHE CIR, CARY 275199366",
392892,6/19/2020,Closed,Public Works,Code Enforcement Inquiry,"109 SEQUOIA CT, CARY 275134754",
419830,8/18/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"109 WRENN DR, CARY 275115316",
354348,3/19/2020,Completed,Code Enforcement,Dumping ? Code Enforcement,"110 GREENGATE CT, CARY 275113762",
348137,3/4/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"110 KING GEORGE LOOP, CARY 275116334",
382660,5/27/2020,Closed,Public Works,Code Enforcement Inquiry,"110 WYATTS POND LN, CARY 275133012",
423154,8/24/2020,Closed,Public Works,Code Enforcement Inquiry,"11000 REGENCY PKWY, CARY 275188518",
402943,7/13/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1102 BELHAVEN RD, CARY 275134034",
408643,7/24/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1102 BELHAVEN RD, CARY 275134034",
410924,7/29/2020,Duplicate,Code Enforcement,Tall Grass ? Code Enforcement,"1102 BELHAVEN RD, CARY 275134034",
413014,8/3/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"1102 BELHAVEN RD, CARY 275134034",
403607,7/14/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1104 LEDSOME LN, CARY 27511",
424765,8/27/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1109 SEABROOK AVE, CARY 275115742",
433874,9/16/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"111 CHEVIS DR, CARY 275134151",
439486,9/28/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"111 CHEVIS DR, CARY 275134151",
466233,11/19/2020,Closed,Code Enforcement,Tall Grass ? Code Enforcement,"111 E CAMDEN FOREST DR, CARY 275189045",
426574,9/1/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"111 RUSHINGWATER DR, CARY 275132836",
386306,6/4/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"111 SYLVAN GROVE DR, CARY 275189607",
414670,8/6/2020,Closed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"111 THURSTON DR, CARY 27511",
395883,6/26/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"111 WINFAIR DR, CARY 275132717",
424096,8/26/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"111 WINFAIR DR, CARY 275132717",
446313,10/12/2020,Closed,Public Works,Code Enforcement Inquiry,"1110 BALMORAL DR, CARY 275116266",
338796,2/12/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"1110 NOTTINGHAM CIR, CARY 275114999",
382932,5/27/2020,Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1111 CASTALIA DR, CARY 275134917",
431734,9/12/2020,Work Completed,Code Enforcement,Tall Grass ? Code Enforcement,"1111 CASTALIA DR, CARY 275134917",
492662,1/22/2021,Closed,Public Works,Code Enforcement Inquiry,"1111 SE MAYNARD RD, CARY 275114142",
429661,9/8/2020,Closed,Code Enforcement,Street Cleaning ? Code Enforcement,"1114 SEABROOK AVE, CARY 275115721",
387984,6/8/2020,Closed,Code Enforcement,Cart Roll?In ? Code Enforcement,"1117 ASKHAM DR, CARY 275114704",
345498,2/27/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"1117 TANGLEWOOD DR, CARY 275115769",
489008,1/13/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"112 CASTLEFERN DR, CARY 275135154",
395268,6/25/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"112 CLAY ST, CARY 275113506",
506090,2/24/2021,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"112 CONWAY CT, CARY 275139400",
508624,3/2/2021,Work Completed,Code Enforcement,Dumping ? Code Enforcement,"112 DORCHESTER PINES CT, CARY 275115789",Hinshaw Greenway
320336,1/6/2020,Closed,Code Enforcement,Dumping ? Code Enforcement,"112 GREENGATE CT, CARY 275113762",
370340,4/30/2020,Work Completed,Code Enforcement,Hazard Tree ? Code Enforcement,"112 LARGE OAKS DR, CARY 275189049",
370345,4/30/2020,Closed,Code Enforcement,Hazard Tree ? Code Enforcement,"112 W GERRELL CT, CARY 275115882",
482781,12/29/2020,Completed,Code Enforcement,Road/Walkway Obstruction ? Code Enforcement,"1120 SE CARY PKWY, CARY 275187413",
393521,6/22/2020,Closed,Code Enforcement,Sight Obstruction ? Code Enforcement,"1124 JEWEL CREEK DR, CARY 275196500",
